estado,Grande,Ano,Estoque
AC,Adm Publica,2010,59000
AC,Agricultura,2010,3268
AC,Comercio,2010,19135
AC,Industria,2010,16627
AC,Serviços,2010,24220
AL,Adm Publica,2010,147952
AL,Agricultura,2010,9823
AL,Comercio,2010,72710
AL,Industria,2010,137341
AL,Serviços,2010,103180
AM,Adm Publica,2010,190443
AM,Agricultura,2010,3023
AM,Comercio,2010,80244
AM,Industria,2010,146441
AM,Serviços,2010,154525
AP,Adm Publica,2010,49827
AP,Agricultura,2010,1017
AP,Comercio,2010,21024
AP,Industria,2010,9827
AP,Serviços,2010,26141
BA,Adm Publica,2010,614372
BA,Agricultura,2010,93200
BA,Comercio,2010,385397
BA,Industria,2010,410551
BA,Serviços,2010,635712
CE,Adm Publica,2010,388599
CE,Agricultura,2010,22151
CE,Comercio,2010,207548
CE,Industria,2010,333996
CE,Serviços,2010,373498
DF,Adm Publica,2010,417095
DF,Agricultura,2010,6409
DF,Comercio,2010,161928
DF,Industria,2010,107090
DF,Serviços,2010,407310
ES,Adm Publica,2010,168408
ES,Agricultura,2010,31832
ES,Comercio,2010,176830
ES,Industria,2010,195256
ES,Serviços,2010,288095
GO,Adm Publica,2010,340057
GO,Agricultura,2010,81861
GO,Comercio,2010,249476
GO,Industria,2010,297284
GO,Serviços,2010,344963
MA,Adm Publica,2010,255951
MA,Agricultura,2010,21333
MA,Comercio,2010,117891
MA,Industria,2010,104961
MA,Serviços,2010,136756
MG,Adm Publica,2010,886825
MG,Agricultura,2010,267397
MG,Comercio,2010,883901
MG,Industria,2010,1196065
MG,Serviços,2010,1412703
MS,Adm Publica,2010,134662
MS,Agricultura,2010,64503
MS,Comercio,2010,106578
MS,Industria,2010,111346
MS,Serviços,2010,143700
MT,Adm Publica,2010,131440
MT,Agricultura,2010,88965
MT,Comercio,2010,155016
MT,Industria,2010,132812
MT,Serviços,2010,148309
PA,Adm Publica,2010,343797
PA,Agricultura,2010,42333
PA,Comercio,2010,176284
